,Period,Time,grid_node,Domestic_electricity,SolarGains
216,1,4,51,5.49389879518072,0.0
217,1,4,54,4.84499383742285,0.0
218,1,4,55,50.29526686746989,0.0
219,1,4,56,2.0816192771084303,0.0
220,1,4,57,5.961654404819278,0.0
221,1,4,58,4.20134674698795,0.0
222,1,4,59,15.93941703228916,0.0
223,1,4,60,37.26079824710759,0.0
224,1,4,62,3.5150466498735105,0.0
225,1,4,63,4.95691561657658,0.0
226,1,4,66,39.669349285177454,0.0
227,1,4,68,25.54462129735273,0.0
228,1,4,69,3.362313253012047,0.0
229,1,4,71,8.66871005198808,0.0
230,1,4,72,10.681831387951812,0.0
231,1,4,76,10.9584227836267,0.0
232,1,4,81,9.54255801828839,0.0
233,1,4,104,0.55055421686747,0.0
234,1,4,110,17.55762212147801,0.0
235,1,4,111,11.9807430218281,0.0
236,1,4,113,19.421102055850337,0.0
237,1,4,114,12.7938313253012,0.0
238,1,4,119,1.2877798529817908,0.0
239,1,4,121,3.7805616,0.0
240,1,4,123,33.685265359701106,0.0
241,1,4,125,7.79729856,0.0
242,1,4,126,13.542544601064881,0.0
243,1,4,133,19.18288221882659,0.0
244,1,4,135,10.636183132530121,0.0
245,1,4,136,21.49452522360865,0.0
246,1,4,137,1.8037975903614423,0.0
247,1,4,142,1.07226987951807,0.0
248,1,4,149,1.2347424,0.0
249,1,4,159,2.692626506024098,0.0
250,1,4,160,1.934028,0.0
251,1,4,166,4.665675606384516,0.0
252,1,4,178,1.1510424,0.0
253,1,4,183,2.9204604,0.0
254,1,4,185,58.269893668935,0.0
255,1,4,189,8.77973700156912,0.0
256,1,5,0,1.38282189142259,0.0
257,1,5,1,1.750466463614458,0.0
258,1,5,5,16.53945318072288,0.0
259,1,5,9,4.73345542168674,0.0
260,1,5,13,4.97696141375137,0.0
261,1,5,14,3.44751807228916,0.0
262,1,5,16,0.029016,0.0
263,1,5,17,7.263035136,0.0
264,1,5,20,12.51593253012048,0.0
265,1,5,21,0.7616,0.0
266,1,5,23,6.888122332530118,0.0
267,1,5,25,6.496584192,0.0
268,1,5,28,11.513853012048191,0.0
269,1,5,33,9.52078496638039,0.0
270,1,5,34,5.687432751807231,0.0
271,1,5,36,5.3117136,0.0
272,1,5,37,27.70898678092751,0.0
273,1,5,41,1.28724819277108,0.0
274,1,5,42,36.105269111077256,0.0
275,1,5,44,17.405020383344766,0.0
276,1,5,46,17.357205188418284,0.0
277,1,5,47,0.5143132530120486,0.0
278,1,5,49,8.82688718854649,0.0
279,1,5,50,6.28825824,0.0
280,1,5,51,5.49389879518072,0.0
281,1,5,54,4.84499383742285,0.0
282,1,5,55,50.29526686746989,0.0
283,1,5,56,2.0816192771084303,0.0
284,1,5,57,5.961654404819278,0.0
285,1,5,58,4.20134674698795,0.0
286,1,5,59,15.93941703228916,0.0
287,1,5,60,37.26079824710759,0.0
288,1,5,62,3.5150466498735105,0.0
