,osmid,longitude,latitude,el_dmd,lv_grid,consumers,label,source,voltage,trafo,moved_from_water,cluster_area,grid_id,r,g,b,size,geometry
80,43,6.630155944804141,46.52171716094363,0.3808861951874713,5586-322_0_5,True,intersect_71,false,0.9968246684858788,,,,632_0,255,0,0,19.044309759373565,POINT (6.630156 46.521717)
81,44,6.630296831290015,46.52180205502867,0.06840780655538548,-1,True,71,false,0.996823416293926,False,False,632.0,632_0,255,0,0,3.4203903277692738,POINT (6.630297 46.521802)
82,45,6.6297914065903845,46.52202861030356,0,-1,False,3461339412,false,0.9968502513472592,,,,632_0,255,0,0,0,POINT (6.629791 46.522029)
83,47,6.629429006589997,46.52191651030359,0,-1,False,9169589728,false,0.9968806015166676,,,,632_0,255,0,0,0,POINT (6.629429 46.521917)
84,48,6.629835806590492,46.521739110303436,0,-1,False,3461299193,false,0.9968459161915673,,,,632_0,255,0,0,0,POINT (6.629836 46.521739)
85,46,6.630698906591341,46.52238351030352,0,-1,False,970510919,false,0.9962233655838396,,,,632_0,255,0,0,0,POINT (6.630699 46.522384)
86,81,6.630866806591533,46.52237321030353,0,-1,False,9483054210,false,0.996217414285443,,,,632_0,255,0,0,0,POINT (6.630867 46.522373)
87,171,6.630803782363254,46.522689975590836,0.07979746754325347,-1,True,intersect_73,false,0.9962395434299789,,,,632_0,255,0,0,3.9898733771626733,POINT (6.630804 46.52269)
88,86,6.628749006589142,46.52236561030391,0,-1,False,9812552774,false,0.9967900212540353,,,,632_0,255,0,0,0,POINT (6.628749 46.522366)
89,146,6.6293409436740705,46.52179294039233,0.11148911162190799,-1,True,intersect_52,false,0.99689688098467,,,,632_0,255,0,0,5.574455581095399,POINT (6.629341 46.521793)
90,168,6.629846345600133,46.521731113622394,0.07861723101198338,-1,True,intersect_69,false,0.9968457956084661,,,,632_0,255,0,0,3.930861550599169,POINT (6.629846 46.521731)
91,80,6.630862806591514,46.5224415103035,0.3613963153507399,5586-49_0_5,True,9483054211,false,0.9962138817434615,,,,632_0,255,0,0,18.069815767536994,POINT (6.630863 46.522442)
92,54,6.631018506591591,46.522954510303755,0,-1,False,695205966,false,0.9962585404490187,,,,632_0,255,0,0,0,POINT (6.631019 46.522955)
93,147,6.629008006589417,46.52242641030392,0,-1,False,9812552775,false,0.9967613500462382,,,,632_0,255,0,0,0,POINT (6.629008 46.522426)
94,173,6.62869370658909,46.52228521030388,0.0684783564034952,-1,True,intersect_79,false,0.9967891568443977,,,,632_0,255,0,0,3.42391782017476,POINT (6.628694 46.522285)
95,169,6.629167130343915,46.522644553976484,0.23228362666086066,5586-323_0_4,True,intersect_81,false,0.9967350970141279,,,,632_0,255,0,0,11.614181333043033,POINT (6.629167 46.522645)
96,116,6.629235306589836,46.52162181030349,0,-1,False,5831762853,false,0.9969192698177752,,,,632_0,255,0,0,0,POINT (6.629235 46.521622)
97,49,6.629941306590307,46.52328551030414,0.33136124464593514,5586-324_0_5,True,695205962,false,0.996447702323266,,,,632_0,255,0,0,16.568062232296757,POINT (6.629941 46.523286)
98,50,6.630000106590372,46.523302210304124,0,-1,False,253402053,false,0.9964396357205005,,,,632_0,255,0,0,0,POINT (6.63 46.523302)
99,51,6.629540006589885,46.523140110304084,0,-1,False,253402054,false,0.9965200716049641,,,,632_0,255,0,0,0,POINT (6.62954 46.52314)
100,52,6.630634117897449,46.52308966202475,0.1529271423786068,-1,True,intersect_72,false,0.9963034600489858,,,,632_0,255,0,0,7.64635711893034,POINT (6.630634 46.52309)
101,56,6.629377267046944,46.522932659546875,0.07668616531266864,-1,True,intersect_70,false,0.9965987102594819,,,,632_0,255,0,0,3.834308265633432,POINT (6.629377 46.522933)
102,99,6.629129206589327,46.523598510304446,0.41232227023055246,5586-87_0_5,True,3761311896,false,0.9962448879261822,,,,632_0,255,0,0,20.616113511527622,POINT (6.629129 46.523599)
103,53,6.63077077494172,46.52304324696467,0.12838850763846002,-1,True,intersect_75,false,0.996286371588169,,,,632_0,255,0,0,6.419425381923001,POINT (6.630771 46.523043)
104,100,6.628983606589154,46.523631710304485,0,-1,False,582984956,false,0.996193149512314,,,,632_0,255,0,0,0,POINT (6.628984 46.523632)
105,78,6.631329606591885,46.52324951030385,0,-1,False,280650,false,0.9962229404662486,,,,632_0,255,0,0,0,POINT (6.63133 46.52325)
