id_building,x,y,cluster_id,grid_node,Hub
1903691,2537464.328,1152793.562,16,2,Building266
1903692,2537443.176,1152795.744,16,2,Building267
1903694,2537468.881,1152888.547,47,29,Building268
1903698,2537471.412,1153041.424,53,33,Building269
1903722,2537488.807,1152501.767,3,104,Building270
1903723,2537486.572,1152789.497,16,2,Building271
1903726,2537506.53,1152954.893,24,33,Building272
1903727,2537499.494,1153068.287,97,33,Building273
1903751,2537535.25,1152268.138,87,107,Building274
1903752,2537510.315,1152349.239,35,108,Building275
1903753,2537565.9,1152450.707,62,105,Building276
1903760,2537514.827,1152984.336,24,33,Building277
1903766,2537545.615,1152925.431,94,38,Building278
1903795,2537595.441,1152233.996,19,160,Building279
1903796,2537597.647,1152285.875,19,160,Building280
1903799,2537619.633,1152664.603,20,127,Building281
1903800,2537596.053,1153083.869,72,40,Building282
1903802,2537579.588,1152726.874,44,143,Building283
1903803,2537580.763,1152765.41,44,143,Building284
1903804,2537638.279,1152866.812,45,34,Building285
1903805,2537604.572,1152863.222,45,34,Building286
1903806,2537584.506,1153100.037,72,40,Building287
1903819,2537604.436,1152580.486,25,111,Building288
1903820,2537629.933,1152210.41,19,160,Building289
1903821,2537724.743,1152507.279,76,196,Building290
1903822,2537629.579,1153091.386,9,35,Building291
1903825,2537612.438,1153114.556,72,40,Building292
1903830,2537664.89,1152787.89,2,97,Building293
1903831,2537614.516,1152896.106,45,34,Building294
1903832,2537638.935,1153050.183,9,35,Building295
1903852,2537683.444,1152587.086,25,111,Building296
1903854,2537690.581,1152827.891,2,97,Building297
1903864,2537655.394,1152562.112,25,111,Building298
1903870,2537661.06,1153072.818,9,35,Building299
1903871,2537648.85,1153109.206,9,35,Building300
