Period,Time,grid_node,Domestic_electricity,House_Q_DHW,T_in,House_Q_heating,House_Q_cooling,Th_supply,Th_return,HeatGains,SolarGains,PV_production,PV_curtailment
6,19,27.0,75.57899745066527,33.69404551539491,146.76747418096,0.0,0.0,140.3979900634526,140.25915632038775,55.46424377174478,120.80908197306638,9.27301944369,0.0
6,19,29.0,7.912185429043437,0.0,47.46752483625,0.0,0.0,44.0,44.0,10.258913205043436,30.44293453591377,2.7941435067400002,0.0
6,19,33.0,165.20497400793164,177.2289114223099,202.77104419072,0.0,0.0,160.0,160.0,45.2739310663975,1778.811616676632,10.02539448982,0.0
6,19,34.0,80.27264155910763,79.6382404159973,91.85292931518,0.0,0.0,60.0,60.0,29.54744771293896,716.5440094570284,5.052114137489999,0.0
6,19,35.0,24.15971058528045,17.046789825970542,83.4547995561,0.0,0.0,80.15663674676138,80.10442449784092,6.45636154142503,60.692437819269564,3.78634563816,0.0
6,19,38.0,37.0614027359347,40.1680183015248,43.67611602042,0.0,0.0,19.94276449,19.94276449,10.369328524123716,721.826975636139,2.48403488816,0.0
6,19,40.0,14.810593743222997,16.266746987951805,87.24521281138,0.0,0.0,80.0,80.0,4.067013984186852,45.559959769821276,1.73713935228,0.0
6,19,41.0,111.55429126490326,113.72674024264512,345.4871105676,0.0,0.0,301.6920208914085,301.12801392760565,37.65536515858778,591.573849126654,11.20997723109,0.0
6,19,45.0,103.00532889956293,20.41174518379552,85.04396473666,0.0,0.0,20.0,20.0,104.16213241094988,1654.7735616455525,7.48884025984,0.0
6,19,58.0,13.496823700484269,11.915294243641231,84.92826173915,0.0,0.0,80.0,80.0,3.6127276522914977,41.196528354054315,2.82073700038,0.0
6,19,59.0,7.697816693292133,0.7610174029451138,66.34764349534001,0.0,0.0,40.0,40.0,1.9695528388343018,31.47837317625967,1.93995591087,0.0
6,19,61.0,83.96115081822056,83.66175863121474,248.60754436316,0.0,0.0,199.40453927,199.40453927,27.05854388388114,377.1384607571158,9.30339436489,0.0
6,19,65.0,5.715683145020561,6.128648817492191,99.09075086704,0.0,0.0,78.0,78.0,1.6139392752637147,19.745052671716117,2.04455315495,0.0
6,19,67.0,11.895373795157496,0.18627125,41.63265691119,0.0,0.0,42.17371370849911,41.44914247233274,6.635734243157497,35.12586739883432,4.1114800452299995,0.0
6,19,68.0,211.537513572407,13.714101770503458,53.638407664140004,0.0,0.0,37.75143799,37.75143799,243.74067043041464,299.7916311166083,11.385673875519998,0.0
6,19,73.0,8.151651988216285,8.867717983043287,48.83887749843,0.0,0.0,40.0,40.0,2.22885449424038,16.963056465427545,1.37158276373,0.0
6,19,74.0,15.216939631738201,0.6600481250000002,41.82543987978,0.0,0.0,42.53323228423214,41.68882152282143,16.672203631738203,41.51520546627536,2.93461539661,0.0
6,19,76.0,46.851133579926476,51.45746006247211,41.00422673706,0.0,0.0,40.0,40.0,12.865400182336106,55.6172786570648,1.62470568545,0.0
6,19,89.0,4.723222488092167,5.187601963409191,20.6796787285,0.0,0.0,20.0,20.0,1.297004849537951,9.960951510800143,0.88805461247,0.0
6,19,97.0,52.205880127383224,3.5841828000000002,103.94915060527,0.0,0.0,40.0,40.0,61.64589735618322,95.40605091672437,4.25527316874,0.0
6,19,101.0,2.4251264608786194,2.6635609103078983,20.94515316824,0.0,0.0,20.0,20.0,0.6659438102762096,3.2587359290363147,0.34261941729,0.0
6,19,102.0,12.27297476287715,13.308851405622491,45.8462560058,0.0,0.0,40.0,40.0,3.350973799021726,37.19902114095602,1.2024679705399999,0.0
6,19,104.0,3.35475827088209,3.6845925925925926,21.16572588816,0.0,0.0,20.0,20.0,0.92122227088209,6.544413770502262,0.40915968614,0.0
6,19,105.0,19.70629834274874,0.0,22.49831586141,0.0,0.0,20.0,20.0,34.11093888674874,13.809986087153982,2.6433690168,0.0
6,19,107.0,93.64528690754116,19.799136099955373,51.15772838118,0.0,0.0,40.0,40.0,135.8432830713966,192.138257517996,7.58776913348,0.0
6,19,108.0,55.13120821064061,60.55161802766622,46.439861148359995,0.0,0.0,40.0,40.0,15.139122620279167,280.5317142689268,3.0436486286899997,0.0
6,19,111.0,37.03183028678276,5.292427885899152,80.77353514172,0.0,0.0,59.0012987,59.0012987,39.001225866696004,137.48145420664758,4.82572667276,0.0
6,19,120.0,72.19132237271681,4.6590489,186.32633452056,0.0,0.0,78.0,78.0,83.02311302231682,80.36185312837965,4.96246056747,0.0
6,19,127.0,123.47936343578198,8.47744755,39.10427403415,0.0,0.0,20.0,20.0,145.807256680582,54.51135843690766,5.26771467299,0.0
6,19,130.0,56.35531966232221,61.89608210620259,20.7595462915,0.0,0.0,20.0,20.0,15.475265686418588,129.1704552333123,2.08201177284,0.0
